Year | Année,NPRI ID | ID INRP,Company Name | Raison Sociale,Facility Name | Nom de l'installation,City | Ville,CSD | SDR,CA or CMA | AR ou RMR,Economic Region | Région économique,Province | Province,Latitude | Latitude,Longitude | Longitude,Substance Name (English) | Nom de substance (Anglais),Substance Name (French) | Nom de substance (Français),Units | Unités,<,Stack Emissions | Émissions de cheminées,<,Direct Discharge | Évacuations directes,Footnotes | Notes de bas de page
2020,3163,Ontario Power Generation Inc.,Darlington Nuclear,Bowmanville,Clarington,Oshawa,Toronto,ON,43.8681,-78.725,Total noble gases,Total des gaz nobles,Bq-MeV,,2.40E+13,,NRM | NRS,
2020,3163,Ontario Power Generation Inc.,Darlington Nuclear,Bowmanville,Clarington,Oshawa,Toronto,ON,43.8681,-78.725,Iodine-131,Iode-131,Bq,,1.50E+08,,NRM | NRS,
2020,3163,Ontario Power Generation Inc.,Darlington Nuclear,Bowmanville,Clarington,Oshawa,Toronto,ON,43.8681,-78.725,Particulate (gross beta/gamma),Particules (bêta brutes/gamma brutes),Bq,,3.10E+07,,2.50E+10,
2020,3163,Ontario Power Generation Inc.,Darlington Nuclear,Bowmanville,Clarington,Oshawa,Toronto,ON,43.8681,-78.725,Particulate gross alpha,Particules alpha brutes,Bq,,1.30E+06,,6.50E+05,
2020,3163,Ontario Power Generation Inc.,Darlington Nuclear,Bowmanville,Clarington,Oshawa,Toronto,ON,43.8681,-78.725,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,,0.00004,,NRM | NRS,Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2020,3161,Ontario Power Generation Inc.,Pickering Nuclear - A & B,Pickering,Pickering,Toronto,Toronto,ON,43.8104,-79.0676,Tritium (HTO),Tritium (Eau tritiée),Bq,,6.50E+14,,4.30E+14,
2020,3161,Ontario Power Generation Inc.,Pickering Nuclear - A & B,Pickering,Pickering,Toronto,Toronto,ON,43.8104,-79.0676,Carbon-14,Carbone-14,Bq,,2.30E+12,,1.80E+09,
2020,3161,Ontario Power Generation Inc.,Pickering Nuclear - A & B,Pickering,Pickering,Toronto,Toronto,ON,43.8104,-79.0676,Total noble gases,Total des gaz nobles,Bq-MeV,,4.50E+13,,NRM | NRS,
2020,3161,Ontario Power Generation Inc.,Pickering Nuclear - A & B,Pickering,Pickering,Toronto,Toronto,ON,43.8104,-79.0676,Iodine-131,Iode-131,Bq,,1.00E+07,,NRM | NRS,
2020,3161,Ontario Power Generation Inc.,Pickering Nuclear - A & B,Pickering,Pickering,Toronto,Toronto,ON,43.8104,-79.0676,Particulate (gross beta/gamma),Particules (bêta brutes/gamma brutes),Bq,,5.80E+06,,3.20E+11,
